host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
sparus aurata		cultured gilthead seabream	Animal-associated	Aquatic	Fish	Aquacultured
		aquaculture marine sediment	Animal-associated	Aquatic	Aquaculture	Breeding Environment Soil
		sand sediment of culture pond	Animal-associated	Aquatic	Aquaculture	Breeding Environment Soil
		sand sediment of culture pond	Animal-associated	Aquatic	Aquaculture	Breeding Environment Soil
ctenopharyngodon idella		aquaculture water of grass carp in chaohu lake	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
salmo salar		water samples obtained from farmed fry culture	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
sander vitreus and perca sp.		water from fish tank	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		aquaculture water	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		aquaculture water of freshwater fish	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		fish farm water	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		fishpond water	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		freshwater fish ponds	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		outdoor water tank from infected fish farm	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		rearing water of a freshwater fish tank	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		seawater from mariculture cage of adult gilthead seabream (sparus aurata)	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water for holding live freshwater fish	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water from aquarium	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water from infected fish farm	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water from rearing environment of oncorhynchus mykiss	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water of a fish culture pond	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
		water samples, farmed atlantic salmon smolt	Animal-associated	Aquatic	Aquaculture	Breeding Environment Water
acipenser sinensis	tuberculosis	a sturgeon hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
ancherythroculter nigrocauda	hyperaemia	aquculture system	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
atlantic salmon		the ras atlantic salmon facility	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
carassius auratus		aquaculture water	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
channa sp. (snakehead)		freshwater fish pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
culturing pond			Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
danio rerio		university of oregon zebrafish facility	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
dicologlossa cuneata		aquaculture facility	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
environment		hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
epinephelus coioides		sea water	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
epinephelus fuscoguttatus		farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
fish		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
grass carp	hemorragic disease	grass carp farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
heteropneustes fossilis		pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
ictalurus punctatus		pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
labeo rohita		pond	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
largemouth bass		louisiana fish and game hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
lates calcarifer	septicemia	fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
lates calcarifer		farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
lates calcarifer		singapore aqualculture	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
loach	septicemia	aquaculture ponds	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
nile tilapia		ponds	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
not applicable	not applicable	hatchery	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
oncorhynchus mykiss		fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
oreochromis niloticus	fish vibriosis	fish farm	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
oreochromis niloticus		aquaculture system	Animal-associated	Aquatic	Aquaculture	Breeding/Hospital Environment Sample
